Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
parentesco__beneficiario_3_,Parentesco (Beneficiario 3),string,contactinformation,
periodiciadad_de_la_deduccion,Periodiciadad de la deducción,enumeration,contactinformation,
permisos_municipales_para_la_construccion,Permisos municipales para la construcción,string,deal_information,
phone,Phone Number,string,contactinformation,A contact's primary phone number
photo,Photo,string,socialmediainformation,Social Media photo
placa_del_vehiculo,Placa del vehículo,string,deal_information,
plan_seguro_apoyo_funerario,Plan Seguro Apoyo Funerario,enumeration,deal_information,
plan_seguro_su_vida,Plan Seguro Su Vida,enumeration,deal_information,
plano_catastrado,Plano Catastrado,string,deal_information,
planos_de_construccion,Planos de construcción,string,contactinformation,
plazo_del_ahorro_en_meses,Plazo del ahorro en meses,number,contactinformation,
plazo_del_tu_certificado,Plazo del certificado de inversión,enumeration,contactinformation,
porcentaje__beneficiario_1_,Porcentaje (Beneficiario 1),number,contactinformation,
porcentaje__beneficiario_2_,Porcentaje (Beneficiario 2),number,contactinformation,
porcentaje__beneficiario_3_,Porcentaje (Beneficiario 3),number,contactinformation,
presupuesto_de_construccion,Presupuesto de construcción,string,deal_information,
provincia,Provincia,enumeration,contactinformation,
puesto,Puesto,string,contactinformation,
que_coberturas_espera_que_contemple_su_seguro_,¿Qué coberturas espera que contemple su seguro?,enumeration,deal_information,
quien_sera_el_titular_de_la_opcion_de_compra_venta_del_inmueble_,¿Quién será el titular de la opción de compra-venta del inmueble?,enumeration,deal_information,
recent_conversion_date,Recent Conversion Date,datetime,conversioninformation,The date this contact last submitted a form
recent_conversion_event_name,Recent Conversion,string,conversioninformation,The last form this contact submitted
recent_deal_amount,Recent Deal Amount,number,deal_information,Amount of last closed won deal associated with a contact. Set automatically.
recent_deal_close_date,Recent Deal Close Date,datetime,deal_information,Date last deal associated with contact was closed-won. Set automatically.
relationship_status,Relationship Status,string,facebook_ads_properties,Contact's relationship status. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
reporte_ante_autoridades_competentes,Reporte ante autoridades competentes,string,contact_activity,
reporte_crediticio_sugef,Reporte crediticio SUGEF,string,deal_information,
salario_bruto_semanal_o_quincenal,Salario Bruto semanal o quincenal,number,contactinformation,
salario_neto_semanal_o_quincenal,Salario Neto semanal o quincenal,number,contactinformation,
salutation,Salutation,string,contactinformation,The title used to address a contact
school,School,string,facebook_ads_properties,Contact's school. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
segundoapellido,Segundo Apellido,string,contactinformation,
seleccione_el_plazo_para_realizar_el_rebajo,Seleccione el plazo para realizar el rebajo,enumeration,deal_information,
seleccione_el_rebajo_de_planilla_que_prefiera,Seleccione el rebajo de planilla que prefiera,enumeration,deal_information,
seniority,Seniority,string,facebook_ads_properties,Contact's seniority. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
servicio_o_producto,Servicio o producto,enumeration,contactinformation,
start_date,Start date,string,facebook_ads_properties,Contact's start date. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
state,State/Region,string,contactinformation,"The contact's state of residence. This might be set via import, form, or integration."
su_auto_posee_extras_que_desea_asegurar_,¿Su auto posee extras que desea asegurar?,string,deal_information,
surveymonkeyeventlastupdated,SurveyMonkey Event Last Updated,number,contactinformation,"This field is meaningless on its own, and is solely used for triggering dynamic list updates when SurveyMonkey information is updated"
telefono_de_habitacion,Teléfono de habitación,number,contactinformation,
telefono_de_oficina,Teléfono de oficina,number,contactinformation,
telefono_del_referido,Teléfono del referido,number,contactinformation,
telefono_habitacion,Teléfono habitación,string,contactinformation,
telefono_oficina,Teléfono Oficina,string,contactinformation,
telfono,Teléfono,string,lead_ads,Lead Ad Properties
tipo_de_ayuda_del_bienestar_social,Tipo de Ayuda del Bienestar Social,enumeration,contactinformation,
tipo_de_ayuda_por_fallciemiento,Tipo de ayuda por fallciemiento,enumeration,contactinformation,
tipo_de_contacto,Tipo de contacto,enumeration,contactinformation,
tipo_de_cuenta_bancaria,Tipo de cuenta bancaria,enumeration,contactinformation,
tipo_de_documento,Tipo de documento,enumeration,contactinformation,
total_revenue,Total Revenue,number,deal_information,Sum of all closed-won deal revenue associated with the contact. Set automatically.
transmision_del_vehiculo,Transmisión del vehículo,enumeration,deal_information,
twitterbio,Twitter Bio,string,socialmediainformation,The contact's Twitter bio. This is set by HubSpot using the contact's email address.
twitterhandle,Twitter Username,string,contactinformation,The contact's Twitter handle.
twitterprofilephoto,Twitter Profile Photo,string,socialmediainformation,The contact's Twitter profile photo. This is set by HubSpot using the contact's email address.
ultima_colilla_de_pago,Última colilla de pago,string,contactinformation,
uso_del_vehiculo,Uso del vehículo,enumeration,deal_information,
valor_actual_del_mercado,Valor actual del mercado,number,deal_information,
webinareventlastupdated,Webinar Event Last Updated,number,contactinformation,"This field is meaningless on its own, and is solely used for triggering dynamic list updates when webinar information is updated"
website,Website URL,string,contactinformation,Associated company website.
work_email,Work email,string,contactinformation,Contact's work email. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
zip,Postal Code,string,contactinformation,"The contact's zip code. This might be set via import, form, or integration."
